date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:04	16382/16382	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:40%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500679350963/going-over/go%20pic.jpg?height=320&width=224	C:/temp/sites/Spy%20Lit/web/images/go%20pic7d0e.jpg	(from https://sites.google.com/site/abyouthliturature/going-over)
10:06:05	566/566	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:05%20GMT	https://sites.google.com/site/abyouthliturature/liar-spy/boy%20watching.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/boy%20watching.566fb5.delayed	(from https://sites.google.com/site/abyouthliturature/liar-spy)
10:06:05	238774/238774	---M--	200	added ('OK')	image/jpeg	etag:%221500936376714%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/liar-spy/boy%20watching.jpg?attachauth=ANoY7cpBEPD-96fPk2VMFIrDdQDWxCmhPYb14wLmjiK6sfqymSbCkhrnDlvJwTE3nbQ6aC8ZYiA3FIoXwQXnF9RvSgcqPNR23_ikMdDZq2hw8Fr_QpqaNCnHnucQg0cFmdhcly-ssTXu9guimkoq5STL9v56kYUjonrkVbuXcd5D7UXONWB4wMILwG797owxj4Ld_uE_wAxs7vnVa2U0LGO5wwBhJ9r2w0XDROqWwuwRg_ngbhbbAcE%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/boy%20watchingdd68.jpg	(from https://sites.google.com/site/abyouthliturature/liar-spy)
10:06:05	11595/11595	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:42%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500936376724/liar-spy/boy%20watching.jpg?height=213&width=320	C:/temp/sites/Spy%20Lit/web/images/boy%20watchingbdde.jpg	(from https://sites.google.com/site/abyouthliturature/liar-spy)
10:06:05	703/703	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:06%20GMT	https://sites.google.com/site/abyouthliturature/star-wars-propaganda-a-history-of-persuasive-art-in-the-galaxy/SW%20propaganda.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/sw%20propaganda.596fb5.delayed	(from https://sites.google.com/site/abyouthliturature/star-wars-propaganda-a-history-of-persuasive-art-in-the-galaxy)
10:06:06	52650/52650	---M--	200	added ('OK')	image/jpeg	etag:%221500931591950%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/star-wars-propaganda-a-history-of-persuasive-art-in-the-galaxy/SW%20propaganda.jpg?attachauth=ANoY7crbzxvr4hFM4iRwnlBya_kFDLJTkVZwC5yi2vCNk2VefuhBDi6zwC9e2UGu2oBXRCy-xBUMUxhpTZFAn7GKorsTkRI46cq1-CkWs5NoLuLauK_OZPDIJpptb-2tG0FAbcDs_G324wExR8COk1y0YrGjJPDeaqrXt5vta4f4_V90QvLsGJe4NC1gbsxXY37-OeImkvBZgRbI44Hb-qLCyUH-V2-MP4AG9EkdkMf7ZfavydqIIJxH6B-ug5MPpijs2rI91vd6W8cRKeFJhrYwuHzAFXmuSUFOIvz_XOA-truZvNLb54Ncd4J63xkbp9ddnQ4NcSFd&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/sw%20propaganda72f0.jpg	(from https://sites.google.com/site/abyouthliturature/star-wars-propaganda-a-history-of-persuasive-art-in-the-galaxy)
10:06:06	12381/12381	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:44%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500931591958/star-wars-propaganda-a-history-of-persuasive-art-in-the-galaxy/SW%20propaganda.jpg?height=200&width=149	C:/temp/sites/Spy%20Lit/web/images/sw%20propaganda4c6b.jpg	(from https://sites.google.com/site/abyouthliturature/star-wars-propaganda-a-history-of-persuasive-art-in-the-galaxy)
10:06:06	633/633	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2025%20Jul%202017%2014:06:06%20GMT	https://sites.google.com/site/abyouthliturature/the-regional-office-is-under-attack/regional.jpg?attredirects=0	C:/temp/sites/Spy%20Lit/web/images/regional.5c6fb5.delayed	(from https://sites.google.com/site/abyouthliturature/the-regional-office-is-under-attack)
10:06:07	55922/55922	---M--	200	added ('OK')	image/jpeg	etag:%221500928773060%22	https://f1fb339a-a-62cb3a1a-s-sites.googlegroups.com/site/abyouthliturature/the-regional-office-is-under-attack/regional.jpg?attachauth=ANoY7coqchhxxzTg9f0fpaZdg_YkHliqW9bsToWv73cB3SJYvu34eS5EGkA9f_o27BML2ntGwd8QTdwvFLtaelGf0CcDvOZXV8oH846uU6i4UB-KffdBBugTHOOOMxTncoAvGT3WoO6AVDZAKlXwO0dIldGyzKLB6vPP9G1jOUroLxeiDyTlv0Tv2k7BZMqD3JHAY9b2jj4ki9AYllmC-OxK7LBXTEa_5bFwxwySGUYpfhdr1Exe-fElDFcRwGCfKrZBGTEKA_vuNLLRllc-HFS5jPO_bTgT7g%3D%3D&attredirects=0	C:/temp/sites/Spy%20Lit/web/images/regionald720.jpg	(from https://sites.google.com/site/abyouthliturature/the-regional-office-is-under-attack)
10:06:07	12657/12657	U-----	200	untouched ('')	image/jpeg	date:Mon,%2024%20Jul%202017%2023:02:45%20GMT	https://sites.google.com/site/abyouthliturature/_/rsrc/1500928773067/the-regional-office-is-under-attack/regional.jpg?height=200&width=133	C:/temp/sites/Spy%20Lit/web/images/regional6b2a.jpg	(from https://sites.google.com/site/abyouthliturature/the-regional-office-is-under-attack)
